Card_Name,Set,Card_type1,Card_type2,Modal,Mana_Cost,CMC,Phyrexian_Mana,Color,Rarity,Price
+2 Mace,AFR,Artifact,,no,1W,2.0,no,W,C,0.01
Abandoned Outpost,ODY,Land,,no,,0.0,no,colorless,C,0.09
Abandoned Sarcophagus,C20,Artifact,,no,3,3.0,no,colorless,R,0.08
Abandon Hope,TMP,Sorcery,,no,X1B,2.0,no,B,U,0.24
Abandon Reason,EMN,Instant,,no,2R,3.0,no,R,U,0.1
Abandon the Post,MID,Sorcery,,no,1R,2.0,no,R,C,0.01
Abattoir Ghoul,DDQ,Creature,,no,3B,4.0,no,B,U,0.07
Abbey Gargoyles,ME2,Creature,,no,2WWW,5.0,no,W,U,0.1
Abbey Griffin,ISD,Creature,,no,3W,4.0,no,W,C,0.04
Abbey Matron,HML,Creature,,no,2W,3.0,no,W,C,0.08
Abbot of Keral Keep,ORI,Creature,,no,1R,2.0,no,R,R,0.54
Abduction,6ED,Enchantment,,no,2UU,4.0,no,U,U,0.23
Aberrant Mind Sorcerer,AFR,Creature,,no,4U,5.0,no,U,U,0.02
Aberrant Researcher//Perfected Form,SOI,Creature,Creature,yes,3U,4.0,no,U,U,0.1
Abeyance,WTH,Instant,,no,1W,2.0,no,W,R,4.81
Abhorrent Overlord,THS,Creature,,no,5BB,7.0,no,B,R,0.29
Abiding Grace,MH2,Enchantment,,no,2W,3.0,no,W,U,0.21
Abjure,WTH,Instant,,no,U,1.0,no,U,C,0.54
Abnormal Endurance,M19,Instant,,no,1B,2.0,no,B,C,0.12
Abolish,DDF,Instant,,no,1WW,3.0,no,W,U,0.33
Abominable Treefolk,MH1,SnowCreature,,no,2GU,4.0,no,UG,U,0.14
Abomination,4ED,Creature,,no,3BB,5.0,no,B,U,0.12
Abomination of Gudul,KTK,Creature,,no,3BGU,6.0,no,UBG,C,0.05
Abomination of Llanowar,KHC,LegendaryCreature,,no,1BG,3.0,no,BG,U,0.08
Aboroth,WTH,Creature,,no,4GG,6.0,no,G,R,2.07
"Aboshan, Cephalid Emperor",ODY,LegendaryCreature,,no,4UU,6.0,no,U,R,0.67
Aboshan's Desire,ODY,Enchantment,,no,U,1.0,no,U,C,0.2
About Face,ULG,Instant,,no,R,1.0,no,R,C,0.08
Abrade,VOW,Instant,,no,1R,2.0,no,R,C,0.08
Abrupt Decay,MM3,Instant,,no,BG,2.0,no,BG,R,1.81
Absolute Grace,USG,Enchantment,,no,1W,2.0,no,W,U,0.36
Absolute Law,USG,Enchantment,,no,1W,2.0,no,W,U,0.35
Absolver Thrull,GPT,Creature,,no,3W,4.0,no,W,C,0.07
Absorb,RNA,Instant,,no,WUU,3.0,no,WU,R,1.35
Absorb Identity,KHM,Instant,,no,1U,2.0,no,U,U,0.06
Absorb Vis,CN2,Sorcery,,no,6B,7.0,no,B,C,0.06
Abstruse Interference,OGW,Instant,,no,2U,3.0,no,U,C,0.03
Abu Ja'far,CHR,Creature,,no,W,1.0,no,W,U,0.21
Abuna Acolyte,SOM,Creature,,no,1W,2.0,no,W,U,0.1
Abuna's Chant,5DN,Instant,,no,3W,4.0,no,W,C,0.05
Abundance,ZNC,Enchantment,,no,2GG,4.0,no,G,R,0.97
Abundant Growth,AFC,Enchantment,,no,G,1.0,no,G,C,0.64
Abundant Harvest,MH2,Sorcery,,no,G,1.0,no,G,C,0.04
Abundant Maw,EMN,Creature,,no,8,8.0,no,colorless,U,0.08
Abyssal Gatekeeper,DVD,Creature,,no,1B,2.0,no,B,C,0.19
Abyssal Horror,7ED,Creature,,no,4BB,6.0,no,B,R,0.25
Abyssal Hunter,6ED,Creature,,no,3B,4.0,no,B,R,0.25
Abyssal Nightstalker,P02,Creature,,no,3B,4.0,no,B,U,0.4
Abyssal Nocturnus,GPT,Creature,,no,1BB,3.0,no,B,R,1.22
Abyssal Persecutor,IMA,Creature,,no,2BB,4.0,no,B,R,0.86
Abyssal Specter,MM3,Creature,,no,2BB,4.0,no,B,U,0.12
Abzan Advantage,FRF,Instant,,no,1W,2.0,no,W,C,0.07
Abzan Ascendancy,C20,Enchantment,,no,WBG,3.0,no,WBG,R,0.11
Abzan Banner,KTK,Artifact,,no,3,3.0,no,colorless,C,0.08
Abzan Battle Priest,IMA,Creature,,no,3W,4.0,no,W,U,0.29
Abzan Beastmaster,FRF,Creature,,no,2G,3.0,no,G,U,0.17
Abzan Charm,C20,Instant,,no,WBG,3.0,no,WBG,U,0.14
Abzan Falconer,MIC,Creature,,no,2W,3.0,no,W,U,0.09
Abzan Guide,KTK,Creature,,no,3WBG,6.0,no,WBG,C,0.01
Abzan Kin-Guard,FRF,Creature,,no,3G,4.0,no,G,U,0.02
Abzan Runemark,FRF,Enchantment,,no,2W,3.0,no,W,C,0.04
Abzan Skycaptain,FRF,Creature,,no,3W,4.0,no,W,C,0.08
Academic Dispute,STX,Instant,,no,R,1.0,no,R,U,0.05
Academic Probation,STX,Sorcery,,no,1W,2.0,no,W,R,0.09
Academy Drake,DOM,Creature,,no,2U,3.0,no,U,C,0.01
Academy Elite,C16,Creature,,no,3U,4.0,no,U,R,0.12
Academy Journeymage,DOM,Creature,,no,4U,5.0,no,U,C,0.04
Academy Manufactor,MH2,ArtifactCreature,,no,3,3.0,no,colorless,R,6.86
Academy Raider,M14,Creature,,no,2R,3.0,no,R,C,0.1
Academy Rector,UDS,Creature,,no,3W,4.0,no,W,R,36.64
Academy Researchers,10E,Creature,,no,1UU,3.0,no,U,U,0.22
Academy Ruins,PHE,LegendaryLand,,no,,0.0,no,colorless,R,11.74
Accelerate,TOR,Instant,,no,1R,2.0,no,R,C,0.24
Accelerated Mutation,SCG,Instant,,no,3GG,5.0,no,G,C,0.06
Acceptable Losses,ODY,Sorcery,,no,3R,4.0,no,R,C,0.06
Access Denied,NEC,Instant,,no,3UU,5.0,no,U,R,0.38
Access Tunnel,STX,Land,,no,,0.0,no,colorless,U,0.34
Acclaimed Contender,ELD,Creature,,no,2W,3.0,no,W,R,0.27
Accomplished Alchemist,STX,Creature,,no,3G,4.0,no,G,R,0.3
Accomplished Automaton,2XM,ArtifactCreature,,no,7,7.0,no,colorless,C,0.01
Accorder Paladin,MBS,Creature,,no,1W,2.0,no,W,U,0.2
Accorder's Shield,M14,Artifact,,no,0,0.0,no,colorless,U,0.15
Accumulated Knowledge,A25,Instant,,no,1U,2.0,no,U,C,0.07
Accursed Centaur,ONS,Creature,,no,B,1.0,no,B,C,0.09
Accursed Horde,GN2,Creature,,no,3B,4.0,no,B,U,0.08
Accursed Spirit,M15,Creature,,no,3B,4.0,no,B,C,0.01
Accursed Witch//Infectious Curse,SOI,Creature,Enchantment,yes,3B,4.0,no,B,U,0.29
Acererak the Archlich,AFR,LegendaryCreature,,no,2B,3.0,no,B,M,6.65
Acidic Dagger,MIR,Artifact,,no,4,4.0,no,colorless,R,1.32
